"DENTS";"DENTS_F";"TPOP";"OPOP";"OCTY";"PGRW";"NGRW";"PINC";"ELD";"LNHDD";"LANDV";"BIRTHS"
1;"1";1,6900001;0,1084;0,107;0;-0,057;4,7579999;0,22548743;8,1650791;0,193;39
1;"1";1,317;0,02592;0,052999999;0,096000001;0;4,9390001;0,14756517;7,3198647;0,204;42
2;"2";3,4909999;0,14919999;0,20299999;1,199;0;7,8080001;0,09294872;8,350194;0,18000001;131
1;"1";4,684;0,033769999;0,375;0,60500002;0;4,7719998;0,12906347;6,8308744;0,153;116
2;"2";2,5929999;0,091109999;0,109;0;-0,061000001;5,5349998;0,19714497;7,7463007;0,259;66
2;"2";5,9689999;0,72627002;0,115;0,412;0;5,414;0,24682313;7,7463007;0,31200001;130
0;"0";1,052;0,026700001;0,048999999;0;-0,039000001;5,9299998;0,24102564;8,1650791;0,17299999;18
1;"1";3,404;0,047910001;0,236;0,91500002;0;6,4660001;0,056831922;7,8853292;0,16599999;113
1;"1";1,9170001;0,1045;0,192;0;-0,222;10,504;0,12161311;8,350194;0,42399999;56
0;"0";0,91500002;0,02513;0,017999999;0,13500001;0;7,138;0,14593698;7,8853292;0,215;21
0;"0";1,2410001;0,011779999;0,079000004;0,012;0;7,0689998;0,13040753;7,3198647;0,082999997;24
0;"0";1,174;0,038479999;0,079000004;0,068999998;0;6,3969998;0,24890405;7,8713112;0,19400001;29
5;"5 and more";3,842;0,54871994;0,49000001;1,837;0;5,5310001;0,067727819;8,6659584;0,419;416
0;"0";1,3430001;0,033769999;0,090999998;0,025;0;4,9689999;0,1184318;8,6659584;0,384;100
4;"4";5,3330002;0,06205;0,433;0,54000002;0;6,4949999;0,066011406;8,6659584;0,114;198
1;"1";0,65899998;0,074610002;0,25299999;0,15899999;0;5,8210001;0,092857145;8,8174458;0,13699999;69
8;"5 and more";6,5999999;1,0508001;0,85399997;2,6919999;0;5,7680001;0,059592314;8,6659584;0,171;663
0;"0";0,36399999;0,34979999;0,072999999;0,039999999;0;4,6750002;0,13605443;8,6659584;0,36500001;57
0;"0";0,24699999;0,33829999;0,426;0,024;0;6,0469999;0,15798433;8,3717051;0,50999999;37
1;"1";1,018;0,1673;0,226;0,156;0;5,5830002;0,084322833;8,8366642;0,322;100
1;"1";0,77999997;0,91940004;0,60299999;0,085000001;0;4,618;0,15347661;8,5844784;0,56400001;117
12;"5 and more";12,134;0,78819001;0,396;4,9400001;0;9,2449999;0,028440103;8,9414148;0,108;716
7;"5 and more";11,547;0,80403;0,58899999;3,6919999;0;8,2270002;0,069099382;8,9414148;0,112;548
5;"5 and more";6,0300002;0,42535001;0,76200002;3,3529999;0;8,1330004;0,055441041;8,9414148;0,1;346
7;"5 and more";7,8670001;1,22251;0,33199999;0,74199998;0;7,2690001;0,069963068;8,9414148;0,134;1000
3;"3";5,441;1,1889399;0,61500001;1,204;0;6,2740002;0,14709303;8,8969984;0,2;219
2;"2";3,852;0,066760004;0,18700001;0,78899997;0;7,0009999;0,16287215;8,9414148;0,093999997;104
3;"3";3,799;0,054189999;0,31900001;0,405;0;8,0229998;0,13835821;8,9414148;0,114;124
1;"1";1,65;0,033769999;0,071999997;0,155;0;6,4809999;0,17305061;8,9414148;0,104;50
8;"5 and more";6,79;0,45486999;0,69;1,6289999;0;7,2140002;0,10370165;8,9414148;0,242;392
14;"5 and more";15,146;1,2230999;1,268;4,29;0;7,7849998;0,11913127;8,9414148;0,24699999;450
1;"1";1,066;0,054189999;0,134;0,118;0;7,059;0,083333336;8,9414148;0,26800001;77
6;"5 and more";4,5110002;0,1076;0,192;1,823;0;9,04;0,051950827;8,9414148;1,301;153
7;"5 and more";6,421;0,56046999;1,081;1,959;0;7,5180001;0,059519239;8,9414148;0,193;412
5;"5 and more";6,3909998;0,1076;0,13600001;1,336;0;7,066;0,097093515;8,9414148;0,26199999;218
2;"2";3,596;0,1139;0,30199999;0,164;0;7,3569999;0,092457078;8,9414148;0,090000004;156
